"chr","pos","Name","regression_coef"
"chr7",144099618,"cg12494126",0.34921
"chr16",3988700,"cg05991492",-0.34908
"chr12",111710593,"cg22504024",0.34822
"chr5",79553034,"cg15181688",-0.34781
"chr13",41364245,"cg16989646",0.34749
"chr6",71373919,"cg11275580",-0.34673
"chr8",134402840,"cg26514648",0.34633
"chr15",31372997,"cg20663376",-0.34611
"chr12",116932572,"cg21827743",0.3454
"chr6",137773602,"cg13032656",0.34406
"chr11",104069562,"cg07761546",0.34381
"chr6",13766814,"cg22446264",-0.34297
"chr11",6947085,"cg24420093",0.34157
"chr18",60490553,"cg11364376",-0.34072
"chr16",10912499,"cg14795855",-0.34004
"chr10",27541418,"cg15469871",0.33943
"chr12",14725579,"cg27199197",-0.33921
"chr10",134598316,"cg22794031",-0.3382
"chr3",58218415,"cg09719910",0.33785
"chr13",46047989,"cg11990818",0.33746
"chr5",140235435,"cg18283342",0.33722
"chr15",101728353,"cg09530217",-0.3371
"chr1",232726348,"cg11023598",-0.33686
"chr6",139659227,"cg24806778",-0.3361
"chr11",94278595,"cg04757806",-0.33598
"chr12",31467005,"cg16659936",0.33564
"chr5",132391949,"cg10645426",0.33534
"chr20",58569233,"cg24648425",0.33501
"chr1",152386561,"cg19370451",0.33496
"chr7",2760784,"cg23779604",-0.3346
"chr3",24198189,"cg16477554",0.33458
"chr3",17036922,"cg22350027",0.33416
"chr17",65386854,"cg16585554",-0.33387
"chr12",95038725,"cg03544309",-0.33386
"chr11",334298,"cg14804531",-0.33349
"chr6",85134951,"cg06206057",0.33311
"chr9",12885175,"cg15539239",-0.33285
"chr16",46954071,"cg14274477",0.33269
"chr4",13767630,"cg07586374",-0.33238
"chr8",41656940,"cg03785432",0.33202
"chr1",228997949,"cg15732451",0.33198
"chr16",12241554,"cg02910054",-0.33115
"chr12",102284884,"cg07823315",-0.33097
"chr6",3166121,"cg02191078",-0.3309
"chr5",142444988,"cg00997251",-0.3306
"chr8",48290341,"cg09477573",0.32959
"chr1",41952221,"cg27438425",-0.3294
"chr5",112716899,"cg01272202",0.32869
"chr3",187684812,"cg16663209",-0.32848
"chr2",731561,"cg20057198",-0.32793
"chr1",101509557,"cg19925780",-0.32792
"chr7",90932279,"cg00857435",-0.32701
"chr4",73218282,"cg02518591",-0.32665
"chr20",23113287,"cg17748466",-0.32629
"chr3",122058117,"cg16896618",0.32602
"chr2",67921775,"cg20668221",-0.32594
"chr1",168515439,"cg04139409",-0.32544
"chr11",45953339,"cg10169887",-0.32541
"chr3",160167977,"cg07553761",0.32503
"chr6",108495385,"cg14663965",-0.32459
"chr17",20932607,"cg02925233",0.32431
"chr12",65675516,"cg01531701",-0.32406
"chr22",38221485,"cg07416664",0.32353
"chr17",839754,"cg26003785",0.32283
"chr1",227748719,"cg20699586",0.32249
"chr12",21926524,"cg16739441",0.32144
"chr10",81091609,"cg21888791",0.32112
"chr19",50393653,"cg05213896",0.32105
"chr12",49726761,"cg11949060",0.32053
"chr18",61557687,"cg23582644",0.31983
"chr17",39802313,"cg00893008",-0.31942
"chr12",120675366,"cg08377357",0.31919
"chr19",2905985,"cg26514858",-0.31884
"chr1",35920411,"cg09085347",0.3183
"chr17",75096239,"cg11597902",0.31794
"chr1",171771709,"cg22796051",-0.31791
"chr15",43812743,"cg24785788",0.31754
"chr7",562844,"cg05620980",0.31739
"chr6",100895618,"cg14717557",0.31644
"chr19",10266680,"cg11667265",-0.31517
"chr1",92270513,"cg13178170",0.31501
"chr20",30701083,"cg26080153",-0.31499
"chr9",80070353,"cg07849049",0.31438
"chr1",228700938,"cg27167000",0.31413
"chr12",96359373,"cg04632109",0.31339
"chr1",221054430,"cg22773697",-0.31187
"chr5",445049,"cg24250168",0.31169
"chr16",56598694,"cg14353832",-0.31134
"chr2",149627959,"cg17523663",0.31085
"chr10",80915186,"cg08526062",-0.31055
"chr1",221065961,"cg22022798",0.31027
"chr1",229394665,"cg03123320",-0.31025
"chr4",36284867,"cg17537307",-0.31023
"chr6",159070656,"cg12691330",-0.30976
"chr12",29525010,"cg17543177",0.30972
"chr10",125626191,"cg13361247",0.30914
"chr1",236658154,"cg26705663",-0.30898
"chr5",172202805,"cg05480073",-0.30869
"chr12",2339439,"cg10635895",0.30853
"chr8",124565678,"cg27091631",-0.30848
"chr1",208132787,"cg10210594",-0.30821
"chr11",112688412,"cg15133578",-0.30814
"chr11",109785847,"cg05505103",0.30789
"chr15",54793071,"cg01420166",0.3078
"chr6",40792385,"cg17866947",0.30757
"chr5",140481267,"cg21530267",-0.30747
"chr6",10955041,"cg16955931",0.30731
"chr10",100407378,"cg14251734",-0.30639
"chr4",156775941,"cg15736994",-0.30635
"chr5",132158887,"cg13218710",-0.30621
"chr4",174099006,"cg03021313",-0.30583
"chr13",53775108,"cg17555373",0.30574
"chr1",114431234,"cg18941151",0.30574
"chr7",152034101,"cg05161215",-0.30573
"chr14",24780404,"cg20007021",0.30571
"chr3",195915875,"cg02559928",0.30524
"chr12",54441458,"cg08465346",0.30519
"chr2",75616674,"cg20981728",0.3042
"chr6",166801650,"cg06930016",-0.30361
"chr1",1565931,"cg04882394",-0.30351
"chr1",182231752,"cg12040931",-0.30274
"chr10",13145672,"cg16473323",0.30266
"chr3",185643307,"cg06590946",0.30255
"chr12",132678925,"cg12384790",0.30249
"chr1",19779072,"cg10676837",0.30226
"chr6",20907308,"cg24050441",-0.30223
"chr2",242743588,"cg15346191",0.30218
"chr9",33082427,"cg21961472",-0.30217
"chr7",70976435,"cg00356325",-0.30198
"chr11",77907656,"cg15243034",0.30191
"chr2",114553502,"cg20725334",0.30148
"chr10",22634733,"cg26492368",0.30148
"chr20",19060357,"cg16125109",0.3006
"chr7",97915802,"cg01877450",-0.30051
"chr11",68912630,"cg03105789",0.30029
"chrX",114035485,"cg07084614",0.30016
"chr22",50918361,"cg00034755",-0.29972
"chr20",31946710,"cg11231701",0.29957
"chr14",95942319,"cg05006384",0.29947
"chr12",54132180,"cg26113809",0.29933
"chr22",46809937,"cg17117905",-0.29887
"chr12",64928769,"cg20620049",-0.29873
"chr19",5838902,"cg17705128",0.29848
"chr6",52172005,"cg05624930",0.2982
"chr21",33250039,"cg16631083",0.29794
"chr15",81070337,"cg08083041",0.29768
"chr11",122376861,"cg20905796",0.29759
"chr16",69360307,"cg05765605",-0.29754
"chr20",44807582,"cg14253333",-0.29749
"chr1",233220806,"cg02587074",0.29741
"chr5",140481256,"cg03349091",0.29733
"chr20",47576594,"cg11749817",-0.29683
"chr1",179030145,"cg15220730",0.29663
"chr11",46718049,"cg16676292",-0.29646
"chr3",185911796,"cg12121643",0.29637
"chr7",4207544,"cg18929226",0.29621
"chr2",53797265,"cg23290317",0.29608
"chr3",171934953,"cg00557663",0.29575
"chr6",166901854,"cg01094309",-0.29522
"chr2",134022890,"cg17592802",0.2951
"chr5",140871590,"cg17297238",-0.29501
"chr20",46904365,"cg01043945",0.29469
"chr2",138427803,"cg21924447",-0.29454
"chr6",134742435,"cg18590562",0.2944
"chr11",62375269,"cg15133732",-0.29381
"chr7",101917355,"cg11103458",0.29332
"chr4",115184444,"cg14298866",0.2933
"chr11",46296145,"cg25165608",-0.29316
"chr11",94321832,"cg06840402",-0.29292
"chr12",96390184,"cg09396840",0.29289
"chr15",32934004,"cg12134633",-0.29279
"chr15",66965995,"cg10441124",0.29271
"chr8",18797459,"cg09765538",0.29183
"chr9",72047033,"cg09125977",-0.29154
"chr4",41098192,"cg02774791",0.29132
"chr15",83601326,"cg11584684",0.2913
"chr2",186603317,"cg23506322",0.29124
"chr1",168888741,"cg19782162",-0.29104
"chr7",117332867,"cg08115523",0.29026
"chr10",80566959,"cg18538723",0.28995
"chr20",31332170,"cg23396732",0.28958
"chr6",80787529,"cg08355045",-0.28932
"chr2",85656009,"cg20652636",-0.28931
"chr3",124860686,"cg26107890",0.28928
"chr12",73815784,"cg25129960",0.28924
"chr13",46041747,"cg07530947",0.28901
"chr6",42099392,"cg16214153",-0.28897
"chr17",36979013,"cg00061632",-0.28882
"chr12",6184355,"cg03761750",0.28878
"chr6",1626841,"cg07267264",0.28875
"chr6",3425259,"cg04455567",0.28872
"chr8",19819682,"cg13320318",0.28863
"chr5",140536175,"cg05477834",-0.28829
"chr7",143091890,"cg06631810",0.28801
"chr2",216947743,"cg22954687",0.28754
"chr3",71738644,"cg12912786",0.28663
"chr3",143804853,"cg21263455",-0.28631
"chr12",59281005,"cg16776821",0.28623
"chr11",10746964,"cg11358155",-0.28617
"chr14",89948279,"cg21432262",-0.28498
"chr9",112214180,"cg11106260",-0.28489
"chr3",50645426,"cg23005227",-0.28404
"chr1",11045691,"cg13521095",0.28389
"chr8",30209111,"cg14913785",-0.28381
"chr6",1395164,"cg12835736",0.28343
"chr9",95791695,"cg13318133",0.28327
"chr7",135633371,"cg26971692",0.28288
"chr7",12762854,"cg04837143",-0.28205
"chr17",18553663,"cg10831246",0.28199
"chr4",71594014,"cg15413640",-0.28189
"chr10",102086495,"cg09071662",0.28187
"chr11",19680208,"cg01687074",-0.28166
"chr16",12174262,"cg23485239",-0.28162
"chr8",142283615,"cg20669366",0.28158
"chr1",198171271,"cg23725163",-0.28158
"chr11",47528955,"cg13308137",-0.28121
"chr14",24865189,"cg14653492",-0.28109
"chr6",292823,"cg26668828",0.28101
"chrX",24830890,"cg09456438",0.28085
"chr3",129693385,"cg11940285",0.28082
"chr1",85135713,"cg11053414",0.28051
"chr12",52652220,"cg07166654",0.28047
"chr7",158575868,"cg19636625",0.28046
"chr9",97469415,"cg21566239",0.28034
"chr2",101791845,"cg25834802",-0.27934
"chr17",59805883,"cg01075132",-0.27902
"chr7",73349892,"cg04101124",-0.27899
"chr11",67465820,"cg17724804",0.27878
"chr6",112475675,"cg17190362",-0.27835
"chr2",74264707,"cg01987702",0.27824
"chr16",75115580,"cg20812295",0.27797
"chr12",75603230,"cg25258740",-0.27782
"chr16",25018046,"cg10907086",0.27776
"chr15",40443853,"cg06926377",-0.27762
"chr16",17409771,"cg00681532",0.2773
"chr3",77146347,"cg15315418",0.27685
"chr8",22043917,"cg26301735",0.27683
"chr16",81558154,"cg00520410",-0.27681
"chr1",44488879,"cg10361967",0.2763
"chr15",41787940,"cg02330683",0.27596
"chr15",52298012,"cg02208803",0.27551
"chr2",25095040,"cg11023668",0.27525
"chr5",140562218,"cg08665243",0.27524
"chr1",88455218,"cg22587245",0.27521
"chr22",29514072,"cg22984723",-0.27512
"chr10",135279010,"cg19904058",-0.27473
"chr5",171076318,"cg24890421",-0.27459
"chr10",127251576,"cg13588738",-0.27443
"chr18",5440481,"cg10268414",-0.27402
"chr19",17610785,"cg03232465",-0.27394
"chr2",26401718,"cg08470875",0.2739
"chr5",177915909,"cg17444747",0.27373
"chr13",50484071,"cg05616994",-0.27366
"chr17",26202890,"cg03207840",-0.27339
"chr7",1973573,"cg12395958",-0.27333
"chr5",140719008,"cg19689427",-0.27314
"chr22",43259569,"cg27010141",-0.27293
"chr2",240918136,"cg00989806",-0.27268
"chr3",15380690,"cg19831360",-0.27266
"chr6",6894182,"cg21242009",0.27264
"chr10",3155135,"cg14443637",0.27248
"chr7",77111075,"cg25361236",0.27242
"chr2",8453321,"cg03882250",-0.2723
"chr2",201996798,"cg21356058",0.27227
"chr8",59773067,"cg05195751",0.27226
"chr6",109034940,"cg14441471",0.27225
"chr6",109037239,"cg14701320",0.27223
"chr16",50730385,"cg16771652",0.27145
"chr15",85360655,"cg25895948",0.27099
"chr20",50303805,"cg05116309",0.27085
"chr5",159660276,"cg11781127",0.27055
"chr14",97925015,"cg20411668",0.27024
"chr6",15516368,"cg02346253",-0.27013
"chr17",45748109,"cg02388537",0.26987
"chr11",94842361,"cg05824697",-0.26967
"chr1",113285940,"cg00698771",0.26955
"chr6",18186411,"cg04231636",-0.26887
"chr2",131678812,"cg17012573",0.26871
"chr19",39142260,"cg07703765",-0.26852
"chr9",33222006,"cg17811032",0.26839
"chr17",74050670,"cg03161223",-0.26786
"chr6",154677972,"cg08486269",0.26752
"chr8",128066154,"cg05327250",-0.26738
"chr2",121412139,"cg04864807",0.26738
"chr16",17331473,"cg12293160",0.26732
"chr1",1483206,"cg24470133",0.26675
"chr1",37947371,"cg27229484",-0.26673
"chr11",93864142,"cg21208539",0.26664
"chr3",127487265,"cg00081175",0.26652
"chr6",31027005,"cg22880122",-0.26616
"chr17",77756453,"cg04062369",0.26606
"chr10",4469274,"cg22049175",0.26546
"chr2",133182651,"cg18069081",0.2653
"chr19",58716004,"cg26698460",0.26446
"chr6",88494538,"cg01484716",0.26439
"chr8",119364290,"cg14208434",-0.26439
"chr4",15659864,"cg18334727",0.26439
"chr8",23162162,"cg24531534",0.26434
"chr16",2287763,"cg00249383",0.26423
"chr11",63011231,"cg16239613",0.26409
"chr20",15988694,"cg14228710",-0.26389
"chr10",45422909,"cg24169768",-0.26363
"chr11",69282274,"cg16038772",0.26355
"chr10",52932019,"cg02363809",0.26331
"chr12",113725987,"cg27185772",-0.26312
"chr20",55645958,"cg22679948",0.26306
"chr17",79799549,"cg26985878",0.26269
"chr15",36987498,"cg19532161",-0.26265
"chr4",74469371,"cg12777890",0.26235
"chr10",14604648,"cg18559386",-0.26233
"chr15",86260743,"cg03435201",-0.26231
"chr1",17892612,"cg26577683",-0.26216
"chr16",17076528,"cg23835686",0.2621
"chr20",2270450,"cg24263958",-0.26175
"chr6",44022091,"cg14237776",-0.26166
"chr14",23429504,"cg07067833",-0.26162
"chr14",78071948,"cg18994022",0.26162
"chr11",68301674,"cg18000426",-0.26158
"chr4",44121292,"cg10606348",0.26156
"chr1",149149691,"cg15686402",0.26156
"chr1",46074835,"cg14826093",0.26145
"chr12",6189353,"cg03736954",0.26123
"chr2",68944746,"cg02717595",-0.26115
"chr10",22935362,"cg02864956",0.26109
"chr2",45156937,"cg18969232",-0.26096
"chr13",100148468,"cg05125815",0.26049
"chr8",27264960,"cg12112853",0.26044
"chr21",46571362,"cg12608445",-0.26043
"chr6",160768801,"cg25313204",-0.26017
"chr3",9271274,"cg01330408",-0.25996
"chr2",23887405,"cg05883499",0.25968
"chr19",38346511,"cg15135657",0.25952
"chr10",114055443,"cg01589210",-0.2593
"chr15",40635904,"cg26844633",-0.25919
"chr1",6354272,"cg26048493",-0.25919
"chr19",51538653,"cg08375658",0.25906
"chr10",89417397,"cg07776019",0.25878
"chr1",153352144,"cg07370087",0.25875
"chr8",80455644,"cg23378923",-0.2585
"chr10",45948652,"cg15431042",-0.25812
"chr4",146720573,"cg01632259",0.25804
"chr1",59437584,"cg08461876",0.2577
"chr11",46296114,"cg23032799",-0.25758
"chr17",27675285,"cg06921803",-0.25751
"chr11",71783265,"cg06720632",0.25749
"chr14",103284737,"cg09673650",0.25737
"chr2",169017661,"cg12059950",0.25731
"chr5",176858608,"cg05614346",-0.25724
"chr13",24006711,"cg18288691",0.25698
"chr14",76734493,"cg13981132",0.25691
"chr6",139229910,"cg08745685",-0.25669
"chr12",57325620,"cg16456893",-0.25657
"chr7",79091755,"cg11882523",-0.25649
"chr4",16036123,"cg17791799",0.25632
"chr1",159046973,"cg10636246",-0.2563
"chr5",78912297,"cg02312541",0.25611
"chr16",88846723,"cg04602696",-0.25582
"chr20",48924820,"cg21134311",0.25572
"chr1",54844424,"cg02927682",-0.25562
"chr13",99960198,"cg20405620",0.2554
"chr3",111297410,"cg06411838",0.25539
"chr16",84158085,"cg20873906",0.25536
"chr1",16778019,"cg01866689",-0.25535
"chr10",63657610,"cg19761254",0.25533
"chr15",22798849,"cg13429424",-0.25505
"chr7",2802560,"cg23285459",-0.25479
"chr6",13677207,"cg08458921",-0.25476
"chr2",121412005,"cg13283952",-0.25473
"chr2",86006924,"cg18096633",-0.25465
"chr13",50856824,"cg25399333",0.2546
"chr14",70020151,"cg15209133",-0.25458
"chr6",150023044,"cg27409974",0.25412
"chr10",3848384,"cg12048965",0.25403
"chr12",28126973,"cg27316107",0.25365
"chr21",46813036,"cg23475244",0.25361
"chr5",118658343,"cg27621513",0.2536
"chr1",45799165,"cg18998310",0.25341
"chr20",52556019,"cg03466977",-0.25336
"chr1",109789627,"cg13780428",0.25331
"chr20",30126382,"cg04306926",0.25316
"chr4",105946830,"cg21192332",0.25296
"chr1",92012736,"cg25838465",0.25259
"chr6",16753450,"cg12569592",0.25246
